vacancy_id,id,text,type_id,ind
22031682,223,"Проведение переговоров, выявление потребностей клиентов в необходимых сетевых решениях и оборудовании;",1,1350
22031682,224,Подготовка коммерческих предложений и презентаций по индивидуальным техническим решениям для клиентов;,1,1351
22031682,225,"Подготовка и оформление юридических (договора, приложения к договорам) и финансовых (счета, накладные, акты) документов на продажу телекоммуникационных решений.",1,1352
22031715,226,"Руководство отделом - старший системный администратор, системный администратор, веб разработчик",1,1354
22031715,227,Постановка задач и контроль их выполнения,1,1355
22031715,228,Планирование и исполнение бюджета ИТ-отдела,1,1356
22031715,229,"Планирование и выполнение проектов по модернизации ИТ-инфраструктуры - внедрение новых ИТ-сервисов, предложения по улучшению текущих сервисов, обеспечение бесперебойной работы",1,1357
22031715,230,"Администрирование серверов Windows 2003/2008/2012/2016 - AD, GPO, File Services, Print Services, WSUS, Hyper-V",1,1358
22031715,231,Администрирование серверов 1С,1,1359
22031715,232,Администрирование MS SQL,1,1360
22031715,233,Администрирование телефонии на базе АТС Panasonic KX-TDA/TDE,1,1361
22031715,234,Администрирование SIP телефонии на базе АТС Yeastar,1,1362
22031715,235,"Администрирование локальной сети на базе оборудования DLINK DFL, DGS",1,1363
22031715,236,Администрирование почтового сервиса на базе Kerio Connect,1,1364
22031715,237,Администрирование прокси сервера на базе Kerio Control,1,1365
22031715,238,Администрирование системы видеонаблюдения,1,1366
22031715,239,Администрирование СКУД,1,1367
22031715,240,Курирование проектов по разработке корпоративных сайтов,1,1368
22031715,241,"Внедрение системы корпоративного портала на безе ""Битрикс24""",1,1369
22031715,242,Поддержка пользователей,1,1370
22031715,243,Высшее техническое образование,2,1371
22031715,244,Опыт от 5 лет,2,1372
22031715,245,ПК - продвинутый пользователь,2,1373
22031715,246,"Глубокое знание технологий сетевой безопасности, стандартов и протоколов",2,1374
22031715,247,Опыт работы с аппаратными файерволлами,2,1375
22031715,248,Опыт разработки рекомендаций по средствам и методам обеспечения сетевой безопасности,2,1376
22031715,249,Ответственность,2,1377
22031715,250,Организаторские способности,2,1378
22032943,251,"разработка, развитие и сопровождение системы пассажирских сервисов транспортных компаний;",1,1379
22032943,252,планирование и координация работы группы разработки;,1,1380
22032943,253,контроль соблюдения календарных планов-графиков проектов разработки;,1,1381
22032943,254,оценка трудоемкости проектов и распределение задач на разработку среди разработчиков;,1,1382
22032943,255,управление процессом разработки;,1,1383
22032943,256,разработка ПО в соответствии с представленными спецификациями.,1,1384
22032943,257,высшее образование;,2,1385
22032943,258,"хорошая теоретическая подготовка (алгоритмы, структуры данных, паттерны проектирования), а также желание делится/получать знания и критический взгляд;",2,1386
22032943,259,"понимание и знание тонкостей ключевых интернет архитектур, технологий, протоколов и форматов, таких как TCP/IP,HTTP, AJAX, XML,SOAP, REST и т.п.;",2,1387
22032943,260,навыки самостоятельного построения архитектуры в рамках концепта архитектуры;,2,1388
22032943,261,"знание Web APL, C# Dot.Net Framework, ASP.Net;",2,1389
22032943,262,"желательно SQL, KnockOut, MVC, WCF,HTML 5, JavaScript, jQuery;",2,1390
22032943,263,"значительным плюсом является: умение работать с TFS, разработка unit test, опыт командной работы.",2,1391
22034073,264,анализ использования IT в здравоохранении,1,1392
22034073,265,анализ использования технологий искусственного интеллекта в здравоохранении,1,1393
22034073,266,написание технических заданий и документации по продуктам компании,1,1394
22034073,267,разработка mock-up,1,1395
22034073,268,навыки использования нотаций и методологий моделирования (UML),2,1396
22034073,269,опыт работы с медицинскими информационными системами,2,1397
22034073,270,желательно - английский язык,2,1398
22034073,271,желательно - медицинское образование,2,1399
22034073,272,желание развиваться в области digital health,2,1400
22034103,273,"Руководство и координация RD центра в области разработки схемотехнических решений для светотехнической продукции (модули, источники питания, устройства управления);",1,1401
22034103,274,Развитие отношений с производителями и поставщиками электронных компонентов;,1,1402
22034103,275,"Поиск решений, реализация технических задач, в том числе сложных и высокой степени неопределенности;",1,1403
22034103,276,Анализ себестоимости и управление ее на различных этапах разработки;,1,1404
22034103,277,Поиск инноваций в области разработки электроники и оптоэлектроники;,1,1405
22034103,278,Прямое участие в комплексной модернизации изделий;,1,1406
22034103,279,"Прямая ответственность вывод продуктов на рынок, согласно ТЗ, а так же за управление проектами ввода новых продуктов;",1,1407
22034103,280,"Отбор, мотивация, развитие персонала.",1,1408
22034103,281,"Высшее техническое образование: инженер, инженер-разработчик;",2,1409
22034103,282,Опыт руководящей работы от 2 лет;,2,1410
22034103,283,Опыт разработки от ТЗ до внедрения в массовое производство;,2,1411
22034103,284,Знание английского языка на уровне intermеdiate;,2,1412
22034103,285,"Знание программ AutoCad, Solidworks, Компас-3D, PDM-PLM (1C) является неоспоримым преимуществом.",2,1413
22034860,286,Анализ требований к ПО,1,1414
22034860,287,Подготовка тест-планов и отчетов о проведении тестирования,1,1415
22034860,288,Разработка тест-кейсов и чек-листов,1,1416
22034860,289,Проведение функционального и интеграционного тестирования,1,1417
22034860,290,Проведение автоматизированного и нагрузочного тестирования,1,1418
22034860,291,Наставничество и передача опыта junior-специалистам,1,1419
22034860,292,Высшее техническое образование,2,1420
22034860,293,Опыт ручного функционального и интеграционного тестирования ПО,2,1421
22034860,294,Углубленные знания тест-анализа,2,1422
22034860,295,Опыт написания сложных SQL-запросов,2,1423
22034860,296,Понимание основ ООП и опыт разработки авто-тестов C#,2,1424
22034860,297,Опыт управления небольшой командой (1-3 человека),2,1425
22034860,298,Умение работать в режиме многозадачности,2,1426
22034860,299,Грамотная русская речь и письмо,2,1427
22038493,300,"Работа с базами данных Firebird, разработка отчетов на FastReport",1,1428
22038493,301,"Доработка конфигураций под требования клиентов, программирование.",1,1429
22038493,302,Опыт работы не менее 3 лет;,2,1430
22038493,303,Высшее техническое образование;,2,1431
22038493,304,Знание SQL;,2,1432
22038493,305,"Опыт разработки в любой среде (приветствуются знания Delphi, C#, 1С).",2,1433
22039979,306,"подготовка ежедневных, еженедельных, ежемесячных отчетов",1,1434
22039979,307,формирование файлов в виде слайдов для трансляции на мониторах,1,1435
22039979,308,анализ номенклатуры компании по глубине ассортимента,1,1436
22039979,309,подготовка и отправка отчетов поставщикам,1,1437
22039979,310,"высшее образование (финансовое, экономическое)",2,1438
22039979,311,опыт работы не менее 3-х лет аналитиком,2,1439
22039979,312,знание программ 1С:,2,1440
22039979,313,продвинутый пользователь ПК,2,1441
22039979,314,внимательность,2,1442
22039979,315,коммуникабельность,2,1443
22039979,316,стрессоустойчивость,2,1444
22044444,317,"Отвечать за сроки, бюджет, качество проектов.",1,1445
22044444,318,"Постановка задач исполнителям, коммуникация по возникающим вопросам.",1,1446
22044444,319,"Коммуникация с заказчиком, ведение деловой переписки.",1,1447
22044444,320,Выполнение плана по закрытию актов.,1,1448
22044517,321,Цели и задачи: Эффективное решение операционных задач Блока продаж,1,1450
22044517,322,формирование и анализ периодической управленческой отчетности;,1,1451
22044517,323,подготовка оперативной отчетности;,1,1452
22044517,324,анализ эффективности каналов привлечения клиентов;,1,1453
22044517,325,анализ эффективности расходования рекламного бюджета;,1,1454
22044517,326,"формирование предложений по запуску, расчет финансовой эффективности маркетинговых активностей/ акций;",1,1455
22044517,327,проведение конкурентного анализа;,1,1456
22044517,328,построение финансовых моделей для оценки эффективности различных проектов Компании;,1,1457
22044517,329,формирование нормативной и методологической базы;,1,1458
22044517,330,"подготовка предложений по оптимизации бизнес-процессов, написание технических заданий для их реализации в системах учета;",1,1459
22044517,331,развитие и разработка инструментов аналитики,1,1460
22044517,332,"Опыт работы аналитиком (бизнес-, финансовым, маркетинг-) более 3 лет.",2,1461
22044517,333,(важна разнонаправленность решаемых задач);,2,1462
