id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
24469136,106,Специалист по поддержке бизнес-приложений,19,16,27,43,4,1,472,1408,357,0.09006289930681845,0.010430869586322828,-0.02618876349186755
24129958,106,Бизнес-аналитик (создание единого профиля клиента),19,16,27,17,4,1,488,1659,357,0.09496191565142187,0.014560634879098635,-0.03526076383241512
24012194,106,Руководитель проектов по развитию сервиса,13,0,31,17,4,1,536,1467,357,0.06914672746164048,0.010625988712490845,-0.02452785791337303
25243214,106,IT Business Analyst,19,16,27,31,4,1,521,1535,365,0.10566384430409906,0.012369303766570245,-0.04470159273130359
22490732,106,Инженер по защите информации,13,37,31,23,8,1,62,142,350,0.07665347134721838,0.013176909043046145,-0.012453740005409827
22764773,106,Системный аналитик,19,16,37,18,4,1,554,1587,350,0.11987125628662,0.020116255892303737,-0.03547451208626651
27877406,106,Бизнес-аналитик,19,16,27,22,4,1,553,1505,365,0.09048035925553062,0.006592632498053099,-0.037305000549204
21306091,107,Трафик-менеджер,7,28,12,70,5,5,515,1649,444,0.049345030824902374,0.009569558141919269,-0.026989707341379194
21876858,107,Специалист по IT,7,28,12,68,5,5,469,1503,444,0.04068626924269104,0.006391553221201439,-0.01537276932259084
25541535,107,Digital-маркетолог/специалист по цифровому маркетингу,7,28,12,70,5,5,629,1649,444,0.07978813753221861,0.0113515272304811,-0.030726378706232522
25877103,107,Менеджер по директ-маркетингу,7,28,12,70,5,5,629,1697,444,0.06797435660900154,0.009919875722790654,-0.031914952152263705
25799102,107,Интернет-маркетолог,7,28,12,70,5,5,629,1703,444,0.06167998843309923,0.009937362108320864,-0.021098390955976428
27362412,107,Интернет-маркетолог,7,28,12,70,5,5,629,1728,444,0.06980060668651465,0.02482038153585,-0.034015725480768776
27495897,107,Руководитель веб-проектов/Менеджер интернет-агентства,17,14,32,18,37,5,486,1488,446,0.11003261894508791,0.033711430935980585,-0.030630518845791266
24777949,107,Интернет-маркетолог,7,28,32,70,5,5,590,1649,417,0.0715954400200551,0.021862470362968664,-0.030775013532514134
24588546,107,Интернет-маркетолог,7,28,12,67,5,5,630,1728,444,0.0930572111175723,0.01573385435392119,-0.04055222123537587
27978878,107,Менеджер проектов,7,28,12,68,5,5,629,1748,444,0.08673588711881162,0.01595176895746741,-0.0377911868194774
22190921,107,Интернет-маркетолог,7,28,12,70,5,5,629,1649,444,0.0637604970993384,0.01656156710744642,-0.027703617635494435
27314668,107,Журналист,17,23,32,18,0,1,486,1705,446,0.047855275409783744,0.007341482127540522,-0.010100911773137761
23519228,107,Контент-менеджер,17,23,32,69,5,5,195,1698,446,0.09291033903316512,0.023106597431091537,-0.03089909841765421
24956526,107,Менеджер по маркетинговым исследованиям,17,23,32,18,10,1,633,1636,446,0.07995301370814965,0.02339590722813012,-0.035825182663720194
24249668,107,SMM-менеджер в рекламное агентство,7,28,12,70,5,5,629,1728,444,0.04252570129158627,0.013152317330544047,-0.021834642158566682
24957053,107,Копирайтер,17,23,32,69,10,1,628,1471,446,0.06800301791796592,0.02056371637235898,-0.030853884314016394
25340077,107,Редактор со знанием английского языка,17,14,32,35,10,1,633,1648,446,0.05641413446013385,0.017747119433577263,-0.033556560343571434
25134529,107,Технический писатель,17,14,37,18,10,1,479,1488,147,0.09141355750074835,0.025245600775975926,-0.03035453561540937
25136079,107,Редактор-эксперт,17,14,32,69,0,1,633,1648,446,0.05602983667744165,0.02434607978189244,-0.014703501940985911
24352028,107,Контент-маркетолог/копирайтер,17,14,32,69,37,1,633,1648,446,0.07794616629584375,0.02159243764282103,-0.030290742505526422
22349999,107,Интернет-маркетолог,7,28,12,70,5,5,516,1728,372,0.1091759018764285,0.02719096004420312,-0.03272900573641396
24309793,107,Редактор/Автор,17,14,19,79,11,1,632,1490,446,0.031901207558046804,0.021409696256980793,-0.010560050230542314
24930290,107,Стажер 1С-Битрикс (продающие страницы),7,14,32,68,5,1,634,1503,446,0.04859523349311325,0.006840549066324107,-0.011777111807488153
25166639,107,Младший менеджер SMM-проектов,7,23,32,68,5,1,634,1648,417,0.03881562222764996,0.011272263704596825,-0.01570972203022244
